Category	Term	PValue	Description	Count	%	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0007155	0.001136553	cell adhesion	17	4.207920792	"Q15262, Q8NDA2, Q640R3, A0JM12, Q501P1, P0C6B8, Q9U3P2, P40241, Q5ZIM6, Q5ND28, Q9BXX0, E9Q7P9, Q9VYN8, P18406, A1XQX0, P46630, Q9HCK4"	331	687	34287	2.563266006	0.771469327	0.771469327	1.839305096
GOTERM_BP_DIRECT	GO:0007275	0.00290856	multicellular organism development	22	5.445544554	"Q6WRI0, Q9UGM3, Q6JAN0, Q80TZ9, P13993, Q24498, Q6R8J2, P97500, Q8NB78, Q9UBW7, Q6AYX5, P81067, Q5BKL8, Q8JGT4, P0CY46, O44516, P48806, E7FAM5, P34709, Q059U7, O61491, Q16534"	331	1117	34287	2.040191817	0.977195825	0.848989487	4.64374074
GOTERM_BP_DIRECT	GO:0043547	0.003361388	positive regulation of GTPase activity	12	2.97029703	"P78524, Q01082, Q92546, Q6ZV73, O46382, P53290, P15498, Q5ZMW5, O14924, O95714, Q61037, O01761"	331	432	34287	2.877391742	0.98735421	0.767021782	5.348237565
GOTERM_BP_DIRECT	GO:0007166	0.00841176	cell surface receptor signaling pathway	9	2.227722772	"A6QLU6, P07550, Q6JAN0, P55040, P18293, Q13489, Q5UAW9, P46630, P40241"	331	297	34287	3.13897281	0.999982697	0.935504595	12.88135642
GOTERM_BP_DIRECT	GO:0006941	0.012763141	striated muscle contraction	3	0.742574257	"Q6P7A9, A2ASS6, Q02789"	331	18	34287	17.26435045	0.999999943	0.964372494	18.91676809
GOTERM_BP_DIRECT	GO:1990001	0.015650738	inhibition of cysteine-type endopeptidase activity involved in apoptotic process	3	0.742574257	"Q5BKL8, O62640, Q13489"	331	20	34287	15.53791541	0.999999999	0.967042977	22.70277975
GOTERM_BP_DIRECT	GO:0051607	0.016059378	defense response to virus	7	1.732673267	"Q8C6L5, Q80VI1, Q53G44, Q9UGM3, Q96C10, Q63184, Q13530"	331	209	34287	3.469391	0.999999999	0.950314297	23.22495645
GOTERM_BP_DIRECT	GO:0045088	0.017189426	regulation of innate immune response	3	0.742574257	"Q13489, Q96C10, P70248"	331	21	34287	14.79801467	1	0.939989345	24.65178677
GOTERM_BP_DIRECT	GO:0048009	0.027666953	insulin-like growth factor receptor signaling pathway	3	0.742574257	"B4NZ70, Q9XUC2, Q61037"	331	27	34287	11.50956697	1	0.982515271	36.74633238
GOTERM_BP_DIRECT	GO:0042851	0.028597734	L-alanine metabolic process	2	0.495049505	"Q28DB5, Q8TD30"	331	3	34287	69.05740181	1	0.976857793	37.72757731
GOTERM_BP_DIRECT	GO:1901897	0.028597734	regulation of relaxation of cardiac muscle	2	0.495049505	"A2ASS6, Q5ZKI0"	331	3	34287	69.05740181	1	0.976857793	37.72757731
GOTERM_BP_DIRECT	GO:0030855	0.030124869	epithelial cell differentiation	4	0.99009901	"Q9UGM3, Q9H479, E9Q7P9, P50416"	331	70	34287	5.91920587	1	0.972931313	39.30661491
GOTERM_BP_DIRECT	GO:0007218	0.030571009	neuropeptide signaling pathway	5	1.237623762	"P24524, P51810, Q9VZW5, P30975, P30974"	331	122	34287	4.245332079	1	0.965207871	39.76077544
GOTERM_BP_DIRECT	GO:0060048	0.035745951	cardiac muscle contraction	3	0.742574257	"Q6P7A9, A2ASS6, Q5ZKI0"	331	31	34287	10.02446155	1	0.973601502	44.80085361
