Category	Term	PValue	Description	Count	%	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_CC_DIRECT	GO:0043234	0.004733503	protein complex	14	3.465346535	"Q01082, Q9W062, Q9C0X8, Q13489, P70569, Q9WTK7, O14924, P62491, Q61037, Q92546, Q9EQU5, Q8K2Y9, P20749, Q647I9"	364	544	35106	2.482041855	0.801696523	0.801696523	6.259650254
GOTERM_CC_DIRECT	GO:0005576	0.006938965	extracellular region	34	8.415841584	"Q9UGM3, Q8N2E2, A8E627, P0C6B8, Q7Z5A4, P11464, Q6R8J2, A5D6U8, Q9KS45, Q24K15, Q9BXX0, P18406, Q6DFV8, Q05793, Q4WA45, P98160, Q66K08, Q6WRI0, P00639, Q9JHA8, Q05306, P27822, Q501P1, Q7TQ62, P13993, Q5I2E5, P25291, B3A0Q5, Q9VYN8, Q8S9L6, P48806, O88281, Q4ZJM9, Q7Z5L3"	364	2026	35106	1.618525108	0.906932904	0.694930998	9.050398894
GOTERM_CC_DIRECT	GO:0005578	0.011234981	proteinaceous extracellular matrix	11	2.722772277	"P81556, Q8NDA2, Q05306, Q9BXX0, Q501P1, Q7TQ62, Q9VYN8, P18406, Q05793, Q66K08, Q9GZU5"	364	412	35106	2.574989331	0.978780024	0.723147597	14.26676201
GOTERM_CC_DIRECT	GO:0005581	0.012605622	collagen trimer	6	1.485148515	"Q05306, Q9BXX0, Q86Z23, Q4ZJM9, Q5I2E5, Q7Z5L3"	364	133	35106	4.350904734	0.986777556	0.660899888	15.87178926
GOTERM_CC_DIRECT	GO:0030424	0.014547304	axon	11	2.722772277	"P81067, Q15262, P07550, Q640R3, O44516, Q9VYN8, Q14416, O17798, P62491, Q38PU3, Q9Z339"	364	429	35106	2.472950127	0.993242257	0.63190465	18.09789056
GOTERM_CC_DIRECT	GO:0045179	0.019667674	apical cortex	3	0.742574257	"P70569, Q647I9, Q9VEN1"	364	21	35106	13.77786499	0.998856323	0.676616971	23.70926852
GOTERM_CC_DIRECT	GO:0005925	0.030672722	focal adhesion	10	2.475247525	"Q5ZIM6, D3ZSI8, Q501P1, Q5E9E1, Q5ZMW5, Q9UMS6, Q05793, Q3B7D3, P98160, P40241"	364	418	35106	2.307297965	0.999975655	0.780761472	34.58524241
GOTERM_CC_DIRECT	GO:0048471	0.032462457	perinuclear region of cytoplasm	15	3.712871287	"Q5BGN5, P70569, Q96AJ9, P62491, Q61037, Q63184, Q13530, Q9VEN1, Q13492, O46382, O57429, Q9EQU5, P20749, P34709, Q647I9"	364	775	35106	1.866678483	0.999987036	0.755042308	36.21168218
GOTERM_CC_DIRECT	GO:0030054	0.032810163	cell junction	15	3.712871287	"Q8NDA2, Q94900, Q96RW7, Q9U3P2, Q6R8J2, O14924, Q38PU3, P24524, E9Q7P9, Q9VYN8, Q9C026, A6H7G2, Q14416, Q6GP70, Q503W7"	364	778	35106	1.859480494	0.999988532	0.717476011	36.52328426
GOTERM_CC_DIRECT	GO:0030017	0.033768071	sarcomere	3	0.742574257	"P81556, A2ASS6, Q76LL6"	364	28	35106	10.33339874	0.99999182	0.690061724	37.37444589
