Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0007155~cell adhesion	17	4.207920792079208	0.0011365530481600842	Q15262, Q8NDA2, Q640R3, A0JM12, Q501P1, P0C6B8, Q9U3P2, P40241, Q5ZIM6, Q5ND28, Q9BXX0, E9Q7P9, Q9VYN8, P18406, A1XQX0, P46630, Q9HCK4	331	687	34287	2.5632660061478387	0.7714693266631439	0.7714693266631439	1.8393050960422985
GOTERM_BP_DIRECT	GO:0007275~multicellular organism development	22	5.445544554455446	0.0029085598019431332	Q6WRI0, Q9UGM3, Q6JAN0, Q80TZ9, P13993, Q24498, Q6R8J2, P97500, Q8NB78, Q9UBW7, Q6AYX5, P81067, Q5BKL8, Q8JGT4, P0CY46, O44516, P48806, E7FAM5, P34709, Q059U7, O61491, Q16534	331	1117	34287	2.040191817205668	0.9771958251101998	0.8489894874858036	4.643740740045588
GOTERM_BP_DIRECT	GO:0043547~positive regulation of GTPase activity	12	2.9702970297029703	0.003361387875306511	P78524, Q01082, Q92546, Q6ZV73, O46382, P53290, P15498, Q5ZMW5, O14924, O95714, Q61037, O01761	331	432	34287	2.8773917421953676	0.9873542101952517	0.767021781741408	5.348237564832958
GOTERM_BP_DIRECT	GO:0007166~cell surface receptor signaling pathway	9	2.2277227722772275	0.008411759863541963	A6QLU6, P07550, Q6JAN0, P55040, P18293, Q13489, Q5UAW9, P46630, P40241	331	297	34287	3.1389728096676737	0.9999826972517426	0.9355045952926897	12.881356420703383
GOTERM_BP_DIRECT	GO:0006941~striated muscle contraction	3	0.7425742574257426	0.012763141420373311	Q6P7A9, A2ASS6, Q02789	331	18	34287	17.264350453172206	0.9999999425979875	0.964372493847728	18.916768085734127
GOTERM_BP_DIRECT	GO:1990001~inhibition of cysteine-type endopeptidase activity involved in apoptotic process	3	0.7425742574257426	0.015650737578151802	Q5BKL8, O62640, Q13489	331	20	34287	15.537915407854987	0.9999999987185908	0.9670429772353488	22.702779747384582
GOTERM_BP_DIRECT	GO:0051607~defense response to virus	7	1.7326732673267329	0.016059378307350283	Q8C6L5, Q80VI1, Q53G44, Q9UGM3, Q96C10, Q63184, Q13530	331	209	34287	3.469391000159008	0.9999999992524847	0.950314296990576	23.224956454901825
GOTERM_BP_DIRECT	GO:0045088~regulation of innate immune response	3	0.7425742574257426	0.017189425876277066	Q13489, Q96C10, P70248	331	21	34287	14.798014674147606	0.9999999998317997	0.9399893451709113	24.651786767105698
GOTERM_BP_DIRECT	GO:0048009~insulin-like growth factor receptor signaling pathway	3	0.7425742574257426	0.027666953320854927	B4NZ70, Q9XUC2, Q61037	331	27	34287	11.50956696878147	0.9999999999999999	0.98251527084007	36.74633237777331
GOTERM_BP_DIRECT	GO:0042851~L-alanine metabolic process	2	0.49504950495049505	0.028597733797317327	Q28DB5, Q8TD30	331	3	34287	69.05740181268882	1.0	0.9768577927763167	37.72757731255392
