Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
INTERPRO	IPR013106:Immunoglobulin V-set	11	2.722772277	1.10E-05	"Q6WRI0, Q8NDA2, A2ASS6, Q640R3, Q96RW7, P11464, Q05793, P46630, P98160, Q9HCK4, O01761"	381	178	38977	6.322023652	0.009275027	0.009275027	0.017012598
INTERPRO	IPR000742:Epidermal growth factor-like domain	18	4.455445545	1.62E-05	"Q8NDA2, Q6V0K7, P98157, Q501P1, A0JM12, Q8N2E2, Q96RW7, Q63415, P0C6B8, Q6R8J2, Q92824, Q5ND28, Q9VYN8, Q6DFV8, A1XQX0, Q05793, O88281, P98160"	381	518	38977	3.554890098	0.013592725	0.006819616	0.024985686
INTERPRO	"IPR009030:Insulin-like growth factor binding protein, N-terminal"	12	2.97029703	1.08E-04	"Q92824, Q8NDA2, Q5ND28, P0CY46, P98157, Q8N2E2, Q63415, Q96RW7, P0C6B8, P18406, Q6DFV8, O88281"	381	280	38977	4.384364454	0.087608712	0.030099812	0.16726754
INTERPRO	IPR003599:Immunoglobulin subtype	16	3.96039604	2.08E-04	"Q6WRI0, Q15262, Q8NDA2, A2ASS6, Q640R3, Q96RW7, Q9U3P2, P11464, O01761, Q28740, Q8JGT4, Q05793, P98160, P46630, Q9HCK4, Q66K08"	381	519	38977	3.153813866	0.161232215	0.04300331	0.320512745
INTERPRO	IPR013783:Immunoglobulin-like fold	23	5.693069307	2.26E-04	"Q6WRI0, O75382, Q15262, Q8NDA2, A2ASS6, Q640R3, Q96RW7, D2GXS7, P11464, Q9U3P2, O01761, Q9VEN1, Q28740, Q8JGT4, Q9GMT4, Q9C026, E7FAM5, Q05793, P46630, P98160, Q9HCK4, Q66K08, Q9HCM2"	381	962	38977	2.445885922	0.174515344	0.03763061	0.349561896
INTERPRO	IPR001881:EGF-like calcium-binding	12	2.97029703	2.83E-04	"Q8NDA2, Q6V0K7, P98157, Q501P1, Q8N2E2, Q96RW7, P0C6B8, Q6DFV8, Q6R8J2, O88281, Q05793, P98160"	381	313	38977	3.922115167	0.213234819	0.039182609	0.436933419
INTERPRO	IPR007110:Immunoglobulin-like domain	17	4.207920792	2.83E-04	"Q6WRI0, Q15262, Q8NDA2, A2ASS6, Q640R3, Q96RW7, P11464, Q9U3P2, O01761, Q28740, Q8JGT4, Q9GMT4, Q05793, P98160, P46630, Q9HCK4, Q66K08"	381	595	38977	2.922909636	0.213417977	0.033712663	0.437356671
INTERPRO	"IPR013032:EGF-like, conserved site"	14	3.465346535	3.54E-04	"Q8NDA2, P98157, A0JM12, Q501P1, Q96RW7, Q8N2E2, P0C6B8, Q6R8J2, Q5ND28, Q9VYN8, Q6DFV8, O88281, Q05793, P98160"	381	430	38977	3.330757493	0.258804701	0.036744312	0.545340297
INTERPRO	IPR001073:Complement C1q protein	6	1.485148515	3.79E-04	"Q05306, Q9BXX0, Q5RJ80, Q86Z23, Q4ZJM9, Q7Z5L3"	381	63	38977	9.743032121	0.274748389	0.035063477	0.584820463
INTERPRO	IPR013098:Immunoglobulin I-set	11	2.722772277	5.39E-04	"Q6WRI0, Q15262, Q8NDA2, A2ASS6, Q8JGT4, Q96RW7, Q9U3P2, Q05793, P98160, Q9HCK4, O01761"	381	285	38977	3.948491965	0.366429186	0.044612585	0.829835922
INTERPRO	IPR003598:Immunoglobulin subtype 2	13	3.217821782	5.62E-04	"Q6WRI0, Q8NDA2, A2ASS6, Q640R3, Q8JGT4, Q96RW7, Q9U3P2, P11464, Q05793, P98160, Q9HCK4, Q66K08, O01761"	381	395	38977	3.36689591	0.378592466	0.042329639	0.864929913
INTERPRO	"IPR001841:Zinc finger, RING-type"	15	3.712871287	0.001517833	"Q80VI1, O75382, D2GXS7, O62640, Q13489, Q8I480, Q8TDB6, Q9LY87, Q86TM6, Q5BKL8, P68907, Q9C026, E7FAM5, Q6CME1, Q9Y3C5"	381	567	38977	2.706397811	0.723786539	0.101667587	2.321756462
INTERPRO	IPR008983:Tumour necrosis factor-like domain	6	1.485148515	0.001565694	"Q05306, Q9BXX0, Q5RJ80, Q86Z23, Q4ZJM9, Q7Z5L3"	381	86	38977	7.137337484	0.734776465	0.09705257	2.394140678
INTERPRO	"IPR018097:EGF-like calcium-binding, conserved site"	9	2.227722772	0.00267309	"Q8NDA2, P98157, Q501P1, Q8N2E2, Q96RW7, P0C6B8, Q6DFV8, Q6R8J2, O88281"	381	241	38977	3.820400562	0.896391787	0.149506472	4.05499934
INTERPRO	IPR001298:Filamin/ABP280 repeat	4	0.99009901	0.003070411	"O75382, D2GXS7, E7FAM5, Q9VEN1"	381	30	38977	13.64024497	0.926070195	0.159402739	4.644426166
INTERPRO	"IPR000719:Protein kinase, catalytic domain"	23	5.693069307	0.003661448	"Q9FL63, A2ASS6, Q6ZN16, Q16974, Q16975, Q9Z1J2, Q9WTK7, F1M5M3, P49657, Q63184, O01761, F1N9Y5, P0CY46, Q60737, Q811L6, Q6PAD2, O45539, P18293, P57078, Q8S9L6, P49760, Q8NEV4, Q5ZKI0"	381	1196	38977	1.967343024	0.95526226	0.176493318	5.514965879
INTERPRO	IPR011009:Protein kinase-like domain	25	6.188118812	0.003752336	"Q9FL63, A2ASS6, Q9H479, Q16974, Q6ZN16, Q16975, Q9Z1J2, Q9WTK7, F1M5M3, P49657, Q63184, O01761, F1N9Y5, P0CY46, Q60737, Q811L6, Q6PAD2, O45539, P18293, Q8BKX6, P57078, Q8S9L6, P49760, Q8NEV4, Q5ZKI0"	381	1350	38977	1.894478468	0.958588907	0.170810253	5.648173939
INTERPRO	IPR017868:Filamin/ABP280 repeat-like	4	0.99009901	0.005172069	"O75382, D2GXS7, E7FAM5, Q9VEN1"	381	36	38977	11.36687081	0.987625418	0.216517185	7.706304856
INTERPRO	"IPR017441:Protein kinase, ATP binding site"	18	4.455445545	0.005624066	"Q9FL63, Q6ZN16, Q16974, Q16975, Q9Z1J2, Q9WTK7, P49657, Q63184, F1N9Y5, P0CY46, Q60737, Q6PAD2, O45539, P57078, Q8S9L6, P49760, Q8NEV4, Q5ZKI0"	381	870	38977	2.116589737	0.991579023	0.222306354	8.352682572
INTERPRO	IPR000477:Reverse transcriptase	4	0.99009901	0.006479384	"A2ASS6, Q99315, P0CT41, P0CT37"	381	39	38977	10.49249613	0.995937249	0.240651721	9.564259423
INTERPRO	"IPR009020:Proteinase inhibitor, propeptide"	4	0.99009901	0.006954802	"Q92824, P00732, Q63415, O17798"	381	40	38977	10.23018373	0.997291328	0.245341787	10.23120478
INTERPRO	"IPR013083:Zinc finger, RING/FYVE/PHD-type"	18	4.455445545	0.007253583	"Q80VI1, O75382, Q9LG11, Q6GQJ2, D2GXS7, O62640, Q09738, Q8I480, Q8TDB6, Q9LY87, Q9BVI0, Q86TM6, Q6ZV73, P68907, Q9C026, Q15075, E7FAM5, Q9Y3C5"	381	893	38977	2.062075107	0.997900751	0.244428389	10.6479969
INTERPRO	"IPR002049:EGF-like, laminin"	5	1.237623762	0.009691445	"Q5ND28, A0JM12, O88281, Q05793, P98160"	381	85	38977	6.017755134	0.999738399	0.301373262	13.9817393
INTERPRO	"IPR000315:Zinc finger, B-box"	6	1.485148515	0.010294408	"Q80VI1, O75382, A8MT70, D2GXS7, Q9C026, E7FAM5"	381	134	38977	4.580679281	0.999843828	0.305935072	14.78814473
INTERPRO	"IPR013320:Concanavalin A-like lectin/glucanase, subgroup"	12	2.97029703	0.013847954	"Q9FL63, Q15262, A6QLU6, Q6JAN0, P0C6B8, Q9GMT4, Q9C026, Q8S9L6, A1XQX0, Q24498, Q05793, P98160"	381	520	38977	2.360811629	0.999992579	0.37652555	19.39884907
INTERPRO	IPR026823:Complement Clr-like EGF domain	4	0.99009901	0.015802116	"Q8NDA2, P98157, Q96RW7, O88281"	381	54	38977	7.577913872	0.999998617	0.404822149	21.83384512
INTERPRO	"IPR011042:Six-bladed beta-propeller, TolB-like"	6	1.485148515	0.01610442	"Q80VI1, O75382, P98157, D2GXS7, Q9VYN8, E7FAM5"	381	150	38977	4.092073491	0.999998934	0.399092225	22.20432931
INTERPRO	IPR001478:PDZ domain	7	1.732673267	0.018965891	"Q5RDQ2, P68907, Q811L6, Q5E9E1, Q9UMS6, O14924, Q059U7"	381	214	38977	3.34632178	0.99999991	0.439669511	25.63072678
INTERPRO	IPR001611:Leucine-rich repeat	12	2.97029703	0.020149501	"Q6WRI0, Q9FL63, Q5JTW2, Q3KQF4, Q7TQ62, Q8CDU4, Q3V1N1, Q0VAA2, Q91YK0, A0JM56, Q9GZU5, Q647I9"	381	550	38977	2.232040086	0.999999967	0.448169476	27.00630904
INTERPRO	"IPR002884:Proprotein convertase, P"	3	0.742574257	0.020953355	"Q92824, Q63415, O17798"	381	23	38977	13.3437179	0.999999984	0.450017507	27.92693084
INTERPRO	IPR004170:WWE domain	3	0.742574257	0.026406774	"Q2EMV9, Q8BZ20, Q460N5"	381	26	38977	11.80405815	1	0.518668263	33.89153797
INTERPRO	IPR021109:Aspartic peptidase	4	0.99009901	0.026778571	"P27822, Q99315, P0CT41, P0CT37"	381	66	38977	6.20011135	1	0.512496817	34.28088797
INTERPRO	IPR006840:ChaC-like protein	2	0.495049505	0.028964532	"Q8WUX2, B3STU3"	381	3	38977	68.20122485	1	0.529708212	36.52701871
INTERPRO	IPR023413:Green fluorescent protein-like	3	0.742574257	0.030325036	"Q8NDA2, Q96RW7, P0C6B8"	381	28	38977	10.96091114	1	0.535661585	37.88850106
INTERPRO	IPR000152:EGF-type aspartate/asparagine hydroxylation site	7	1.732673267	0.032059211	"Q8NDA2, P98157, Q501P1, Q96RW7, P0C6B8, Q6R8J2, O88281"	381	242	38977	2.959144053	1	0.545492811	39.58433736
INTERPRO	IPR001370:Baculoviral inhibition of apoptosis protein repeat	3	0.742574257	0.034457646	"Q5BKL8, O62640, Q13489"	381	30	38977	10.23018373	1	0.561768876	41.8584729
INTERPRO	"IPR023827:Peptidase S8, subtilisin,  Asp-active site"	3	0.742574257	0.036601274	"Q92824, Q63415, O17798"	381	31	38977	9.9001778	1	0.574117047	43.82300178
INTERPRO	"IPR024648:Peptidase A2E, retrotransposon"	2	0.495049505	0.038432215	"P0CT41, P0CT37"	381	4	38977	51.15091864	1	0.582524454	45.4516268
INTERPRO	"IPR018200:Peptidase C19, ubiquitin carboxyl-terminal hydrolase 2, conserved site"	5	1.237623762	0.042611326	"A6QR55, O57429, Q6QN14, A5WWB0, Q09738"	381	134	38977	3.817232734	1	0.611602568	49.00499553
INTERPRO	IPR011489:EMI domain	3	0.742574257	0.043327218	"Q9BXX0, A0JM12, O88281"	381	34	38977	9.0266327	1	0.608559841	49.59152986
INTERPRO	"IPR012317:Poly(ADP-ribose) polymerase, catalytic domain"	3	0.742574257	0.043327218	"Q2EMV9, Q8BZ20, Q460N5"	381	34	38977	9.0266327	1	0.608559841	49.59152986
INTERPRO	IPR001507:Zona pellucida domain	3	0.742574257	0.045663706	"Q9UGM3, Q6V0K7, P25291"	381	35	38977	8.768728909	1	0.619231097	51.46222247
INTERPRO	IPR024644:Interferon-induced protein 44 family	2	0.495049505	0.047807828	"Q53G44, Q8BV66"	381	5	38977	40.92073491	1	0.627654387	53.121575
INTERPRO	"IPR022398:Peptidase S8, subtilisin, His-active site"	3	0.742574257	0.048045566	"Q92824, Q63415, O17798"	381	36	38977	8.525153106	1	0.620870046	53.30225851
INTERPRO	"IPR001394:Peptidase C19, ubiquitin carboxyl-terminal hydrolase 2"	5	1.237623762	0.048662528	"A6QR55, O57429, Q6QN14, A5WWB0, Q09738"	381	140	38977	3.653637045	1	0.61722716	53.76812045
INTERPRO	IPR001258:NHL repeat	3	0.742574257	0.052941019	"O75382, D2GXS7, E7FAM5"	381	38	38977	8.076460837	1	0.640777818	56.88113236
INTERPRO	"IPR003649:B-box, C-terminal"	3	0.742574257	0.055452459	"O75382, D2GXS7, Q9C026"	381	39	38977	7.869372098	1	0.650219857	58.61596173
INTERPRO	"IPR001584:Integrase, catalytic core"	3	0.742574257	0.055452459	"Q99315, P0CT41, P0CT37"	381	39	38977	7.869372098	1	0.650219857	58.61596173
INTERPRO	"IPR013017:NHL repeat, subgroup"	3	0.742574257	0.055452459	"O75382, D2GXS7, E7FAM5"	381	39	38977	7.869372098	1	0.650219857	58.61596173
INTERPRO	IPR006605:G2 nidogen/fibulin G2F	2	0.495049505	0.057092263	"Q8NDA2, Q96RW7"	381	6	38977	34.10061242	1	0.653341081	59.71322305
INTERPRO	IPR009017:Green fluorescent protein	2	0.495049505	0.057092263	"Q8NDA2, Q96RW7"	381	6	38977	34.10061242	1	0.653341081	59.71322305
