Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_DIRECT	GO:0004842~ubiquitin-protein transferase activity	16	3.9603960396039604	0.0013263445730931716	Q80VI1, Q0D2K2, D2GXS7, O62640, Q13489, Q5RGB8, Q80T74, Q8TDB6, D3YYI7, Q9LY87, Q5BKL8, P68907, Q9C026, E7FAM5, O95714, Q9Y3C5	332	616	33537	2.6237677984665937	0.4576537806459734	0.4576537806459734	1.8716884611881701
GOTERM_MF_DIRECT	GO:0005509~calcium ion binding	22	5.445544554455446	0.0028083780666753504	Q8N987, Q8NDA2, Q6V0K7, A2ASS6, P98157, Q501P1, Q8N2E2, Q96RW7, P0C6B8, Q6R8J2, Q06AT0, P55281, A8K855, Q3LGD4, E9Q7P9, B3A0Q5, Q6DFV8, Q05793, O88281, Q32L26, P98160, Q5R8Z6	332	1084	33537	2.0501211488018494	0.7265082029766707	0.47703556810875813	3.924522322989521
GOTERM_MF_DIRECT	GO:0005515~protein binding	66	16.33663366336634	0.0033439671822317243	O88513, Q01082, Q9VZZ9, P23469, Q9WTK7, P97500, P40241, Q9CWY4, Q86TM6, Q9SUH5, Q9BXX0, O82345, Q15075, Q05793, P34709, P98160, Q9HCK4, Q80VI1, Q6V0K7, A2ASS6, P30622, Q8R0W1, P62491, Q5ND28, P26599, Q60737, P15498, F4HRT5, P49760, P20749, P24534, Q4ZJM9, Q15459, P16356, Q15262, Q60787, Q9UGM3, B2RX88, Q9W062, Q640R3, P55040, Q9VCU9, O75533, Q13489, Q9UMS6, Q9BVI0, Q13492, Q8C6L5, Q9C6W5, Q92546, Q9C026, Q8K2Y9, O95714, Q9Y3C5, O75382, Q9Y091, P51810, Q80TZ9, Q9U3P2, Q96AJ9, Q8TDB6, Q61037, Q96C10, Q63184, Q8VHI4, P07550	332	4733	33537	1.4086190525889741	0.7865071869301029	0.40233050978612517	4.656517166123986
GOTERM_MF_DIRECT	GO:0004519~endonuclease activity	7	1.7326732673267329	0.01416800703529084	P00639, P54308, Q99315, P0CT41, Q9VE51, P24081, P0CT37	332	198	33537	3.5712395034684192	0.9986095971985747	0.8068987173497673	18.38335790176441
GOTERM_MF_DIRECT	GO:0004190~aspartic-type endopeptidase activity	5	1.2376237623762376	0.019210929423394182	P70677, P27822, Q99315, P0CT41, P0CT37	332	103	33537	4.903643701017662	0.999869274674371	0.8327862654703806	24.129804357171636
GOTERM_MF_DIRECT	GO:0005516~calmodulin binding	9	2.2277227722772275	0.022303108764379794	Q01082, A2ASS6, P55040, O82345, Q15075, P70569, Q8NEV4, P70248, Q5ZKI0	332	346	33537	2.627559370429696	0.9999695103809587	0.8232503077319346	27.46488464447937
GOTERM_MF_DIRECT	GO:0008270~zinc ion binding	38	9.405940594059405	0.023893025256109188	O65639, Q16974, D2GXS7, Q6GQJ2, O62640, Q8BXQ6, Q13489, Q8I480, P97500, Q8NB78, Q9UBW7, Q9LY87, Q9BVI0, Q86TM6, Q5BKL8, P00732, P68907, A8MT70, Q9C026, Q99315, Q15075, O95714, P46630, Q9Y3C5, O75382, Q80VI1, Q80TZ9, P30622, Q9LG11, Q09738, Q8TDB6, Q96C10, Q8R1J3, Q6F1D3, Q5E9E1, E7FAM5, Q6GP70, Q6CME1	332	2676	33537	1.4344440542438812	0.9999856017806251	0.7966098921468482	29.126137583532806
GOTERM_MF_DIRECT	GO:0004672~protein kinase activity	14	3.4653465346534658	0.029739866011030004	Q9FL63, A2ASS6, Q60737, Q811L6, O45539, P18293, Q9Z1J2, P49760, Q9WTK7, Q8NEV4, P49657, F1M5M3, Q63184, O01761	332	729	33537	1.939932569785314	0.9999990974850083	0.8244374811828357	34.93591242845522
GOTERM_MF_DIRECT	GO:0071889~14-3-3 protein binding	3	0.7425742574257426	0.031006723069814376	Q95KI1, Q9UMS6, Q61037	332	28	33537	10.823042168674698	0.9999995058348325	0.8007863349437394	36.134907007117924
GOTERM_MF_DIRECT	GO:0003839~gamma-glutamylcyclotransferase activity	2	0.49504950495049505	0.048386767271333835	Q8WUX2, B3STU3	332	5	33537	40.40602409638554	0.999999999882435	0.8983686292293492	50.64114174078398
