Feature_ID	Female_108 - Total gene reads	Male_108 - Total gene reads
TR1|c0_g1_i1	0	4
TR1|c0_g2_i1	7	3
TR2|c0_g1_i1	14	15
TR3|c0_g1_i1	11	7
TR4|c0_g1_i1	5	8
TR5|c0_g1_i1	7	1
TR6|c0_g1_i1	4	11
TR7|c0_g1_i1	4	11
TR8|c0_g1_i1	1	7
TR9|c0_g1_i1	10	10
TR10|c0_g1_i1	1	7
TR10|c0_g2_i1	3	8
TR10|c0_g3_i1	0	0
TR10|c1_g1_i1	3	6
TR11|c0_g1_i1	6	5
TR12|c0_g1_i1	11	62
TR13|c0_g1_i1	0	3
TR13|c0_g2_i1	5	0
TR14|c0_g1_i1	4	2
TR15|c0_g1_i1	6	0
TR15|c0_g2_i1	0	8
TR16|c0_g1_i1	18	183
TR17|c0_g1_i1	18	22
TR18|c0_g1_i1	1	8
TR18|c0_g2_i1	1	5
TR19|c0_g1_i1	0	0
TR19|c0_g2_i1	12	9
TR20|c0_g1_i1	6	1
TR20|c0_g2_i1	0	0
TR21|c0_g1_i1	4	2
TR22|c0_g1_i1	5	2
TR23|c0_g1_i1	0	3
TR23|c0_g1_i2	9	20
TR24|c0_g1_i1	8	6
TR25|c0_g1_i1	1	17
TR26|c0_g1_i1	15	12
TR27|c0_g1_i1	8	6
TR27|c0_g2_i1	6	0
TR28|c0_g1_i1	7	13
TR29|c0_g1_i1	2	4
TR29|c0_g2_i1	7	2
TR30|c0_g1_i1	4	6
TR31|c0_g1_i1	0	17
TR31|c0_g2_i1	4	3
TR32|c0_g1_i1	21	52
TR32|c0_g2_i1	0	15
TR33|c0_g1_i1	17	39
TR34|c0_g1_i1	1	8
TR34|c0_g2_i1	0	3
TR35|c0_g1_i1	3	16
TR36|c0_g1_i1	11	8
TR37|c0_g1_i1	35	63
TR38|c0_g1_i1	12	9
TR38|c0_g2_i1	4	0
TR39|c0_g1_i1	12	20
TR39|c0_g2_i1	0	0
TR40|c0_g1_i1	3	0
TR40|c0_g2_i1	0	3
TR41|c0_g1_i1	33	62
TR42|c0_g1_i1	0	1
TR42|c0_g2_i1	4	1
TR43|c0_g1_i1	10	20
TR44|c0_g1_i1	5	8
TR45|c0_g1_i1	4	2
TR45|c1_g1_i1	8	7
TR46|c0_g1_i1	65	228
TR47|c0_g1_i1	0	0
TR47|c0_g2_i1	2	0
TR47|c0_g2_i2	4	0
TR48|c0_g1_i1	6	5
TR49|c0_g1_i1	16	13
TR50|c0_g1_i1	6	11
TR51|c0_g1_i1	34	32
TR52|c0_g1_i1	0	21
TR52|c0_g2_i1	13	10
TR53|c0_g1_i1	4	10
TR54|c0_g1_i1	64	98
TR54|c0_g2_i1	15	9
TR55|c0_g1_i1	58	179
TR56|c0_g1_i1	1	28
TR57|c0_g1_i1	10	3
TR57|c0_g2_i1	0	3
TR58|c0_g1_i1	6	7
TR59|c0_g1_i1	56	8
TR59|c0_g2_i1	0	2
TR60|c0_g1_i1	38	68
TR61|c0_g1_i1	1	5
TR61|c0_g2_i1	15	36
TR62|c0_g1_i1	11	14
TR63|c0_g1_i1	5	3
TR64|c0_g1_i1	9	6
TR65|c0_g1_i1	8	30
TR66|c0_g1_i1	7	22
TR66|c0_g2_i1	2	20
TR67|c0_g1_i1	0	4
TR67|c0_g2_i1	8	7
TR68|c0_g1_i1	10	10
TR69|c0_g1_i1	0	12
TR69|c0_g2_i1	3	4
TR70|c0_g1_i1	5	5
TR71|c0_g1_i1	4	7
TR72|c0_g1_i1	22	39
TR73|c0_g1_i1	10	6
TR74|c0_g1_i1	1	0
TR74|c0_g2_i1	0	22
TR75|c0_g1_i1	1	9
TR75|c0_g2_i1	0	0
TR76|c0_g1_i1	18	21
TR77|c0_g1_i1	10	11
TR77|c0_g2_i1	0	0
TR78|c0_g1_i1	20	34
TR79|c0_g1_i1	33	31
TR80|c0_g1_i1	6	0
TR81|c0_g1_i1	23	19
TR82|c0_g1_i1	6	5
TR83|c0_g1_i1	2	5
TR83|c0_g2_i1	6	6
TR84|c0_g1_i1	20	22
TR85|c0_g1_i1	13	4
TR85|c0_g2_i1	22	29
TR86|c0_g1_i1	0	8
TR87|c0_g1_i1	12	10
TR88|c0_g1_i1	0	0
TR88|c0_g2_i1	26	0
TR89|c0_g1_i1	43	23
TR90|c0_g1_i1	19	25
TR91|c0_g1_i1	106	10
TR92|c0_g1_i1	28	56
TR93|c0_g1_i1	115	318
TR94|c0_g1_i1	8	4
TR95|c0_g1_i1	3	4
TR95|c0_g2_i1	8	5
TR96|c0_g1_i1	9	7
TR97|c0_g1_i1	0	20
TR98|c0_g1_i1	50	43
TR99|c0_g1_i1	4	42
TR99|c0_g2_i1	0	0
TR100|c0_g1_i1	6	21
TR101|c0_g1_i1	2	8
TR102|c0_g1_i1	5	3
TR102|c0_g2_i1	3	0
TR103|c0_g1_i1	11	9
TR104|c0_g1_i1	77	71
TR105|c0_g1_i1	25	7
TR105|c0_g2_i1	2	5
TR106|c0_g1_i1	20	20
TR107|c0_g1_i1	3	0
TR107|c0_g2_i1	0	15
TR108|c0_g1_i1	0	0
TR108|c0_g2_i1	15	2
TR109|c0_g1_i1	6	7
TR110|c0_g1_i1	17	22
TR111|c0_g1_i1	17	34
TR111|c0_g1_i2	1	1
TR112|c0_g1_i1	105	291
TR113|c0_g1_i1	9	2
TR113|c0_g2_i1	0	2
TR114|c0_g1_i1	1	14
TR114|c0_g2_i1	0	9
TR115|c0_g1_i1	51	6
TR116|c0_g1_i1	8	14
TR117|c0_g1_i1	7	4
TR117|c0_g2_i1	6	0
TR118|c0_g1_i1	0	5
TR118|c0_g2_i1	14	10
TR119|c0_g1_i1	4	9
TR120|c0_g1_i1	11	12
TR121|c0_g1_i1	90	191
TR121|c0_g2_i1	0	46
TR122|c0_g1_i1	7	0
TR122|c0_g2_i1	5	0
TR123|c0_g1_i1	7	9
TR124|c0_g1_i1	19	9
TR125|c0_g1_i1	4	18
TR126|c0_g1_i1	3	16
TR127|c0_g1_i1	18	2
TR128|c0_g1_i1	28	13
TR129|c0_g1_i1	6858	7718
TR130|c0_g1_i1	2	9
TR131|c0_g1_i1	3	16
TR132|c0_g1_i1	4	8
TR133|c0_g1_i1	11	13
TR134|c0_g1_i1	54	46
TR134|c0_g2_i1	9	6
TR135|c0_g1_i1	11	3
TR136|c0_g1_i1	10	18
TR137|c0_g1_i1	16	20
TR138|c0_g1_i1	0	6
TR138|c0_g2_i1	8	0
TR139|c0_g1_i1	7	5
TR140|c0_g1_i1	20	11
TR140|c0_g2_i1	0	0
TR141|c0_g1_i1	11	16
TR142|c0_g1_i1	74	22
TR143|c0_g1_i1	9	13
TR144|c0_g1_i1	2	15
TR144|c0_g2_i1	0	8
TR145|c0_g1_i1	9	20
TR146|c0_g1_i1	19	18
TR146|c0_g2_i1	0	20
TR147|c0_g1_i1	65	92
TR148|c0_g1_i1	107	106
TR148|c0_g2_i1	1	3
TR149|c0_g1_i1	143	109
TR149|c0_g2_i1	0	2
TR150|c0_g1_i1	20	8
TR151|c0_g1_i1	21	17
TR152|c0_g1_i1	24	22
TR153|c0_g1_i1	12	0
TR154|c0_g1_i1	27	44
TR155|c0_g1_i1	16	6
TR155|c0_g2_i1	0	2
TR156|c0_g1_i1	19	11
TR157|c0_g1_i1	23	29
TR158|c0_g1_i1	4	12
TR159|c0_g1_i1	9	17
TR160|c0_g1_i1	8	5
TR161|c0_g1_i1	27	13
TR162|c0_g1_i1	635	284
TR163|c0_g1_i1	20	45
TR164|c0_g1_i1	8	3
TR165|c0_g1_i1	8	4
TR166|c0_g1_i1	29	114
TR167|c0_g1_i1	19	26
TR168|c0_g1_i1	1	2
TR168|c0_g2_i1	0	5
TR169|c0_g1_i1	9	13
TR170|c0_g1_i1	0	0
