Feature_ID	Female_106 - Total gene reads	Male_106 - Total gene reads
TR1|c0_g1_i1	6	6
TR1|c0_g2_i1	0	5
TR2|c0_g1_i1	7	20
TR3|c0_g1_i1	2	4
TR4|c0_g1_i1	4	10
TR5|c0_g1_i1	6	7
TR6|c0_g1_i1	12	13
TR7|c0_g1_i1	1	20
TR8|c0_g1_i1	7	48
TR9|c0_g1_i1	9	15
TR10|c0_g1_i1	2	4
TR10|c0_g2_i1	8	23
TR10|c0_g3_i1	0	0
TR10|c1_g1_i1	4	10
TR11|c0_g1_i1	8	6
TR12|c0_g1_i1	32	22
TR13|c0_g1_i1	0	0
TR13|c0_g2_i1	3	4
TR14|c0_g1_i1	3	4
TR15|c0_g1_i1	0	0
TR15|c0_g2_i1	12	7
TR16|c0_g1_i1	18	161
TR17|c0_g1_i1	23	40
TR18|c0_g1_i1	5	7
TR18|c0_g2_i1	2	4
TR19|c0_g1_i1	6	1
TR19|c0_g2_i1	5	19
TR20|c0_g1_i1	19	5
TR20|c0_g2_i1	4	0
TR21|c0_g1_i1	1	5
TR22|c0_g1_i1	0	7
TR23|c0_g1_i1	0	0
TR23|c0_g1_i2	6	8
TR24|c0_g1_i1	1	4
TR25|c0_g1_i1	7	26
TR26|c0_g1_i1	15	24
TR27|c0_g1_i1	13	13
TR27|c0_g2_i1	6	1
TR28|c0_g1_i1	5	12
TR29|c0_g1_i1	0	5
TR29|c0_g2_i1	9	6
TR30|c0_g1_i1	6	11
TR31|c0_g1_i1	3	9
TR31|c0_g2_i1	3	0
TR32|c0_g1_i1	24	47
TR32|c0_g2_i1	0	5
TR33|c0_g1_i1	7	11
TR34|c0_g1_i1	1	0
TR34|c0_g2_i1	0	5
TR35|c0_g1_i1	2	9
TR36|c0_g1_i1	13	9
TR37|c0_g1_i1	36	65
TR38|c0_g1_i1	2	0
TR38|c0_g2_i1	2	2
TR39|c0_g1_i1	13	8
TR39|c0_g2_i1	10	0
TR40|c0_g1_i1	6	0
TR40|c0_g2_i1	9	17
TR41|c0_g1_i1	42	78
TR42|c0_g1_i1	15	7
TR42|c0_g2_i1	6	6
TR43|c0_g1_i1	40	16
TR44|c0_g1_i1	5	12
TR45|c0_g1_i1	11	0
TR45|c1_g1_i1	17	5
TR46|c0_g1_i1	73	186
TR47|c0_g1_i1	0	0
TR47|c0_g2_i1	0	0
TR47|c0_g2_i2	1	17
TR48|c0_g1_i1	8	14
TR49|c0_g1_i1	14	18
TR50|c0_g1_i1	2	5
TR51|c0_g1_i1	61	64
TR52|c0_g1_i1	125	30
TR52|c0_g2_i1	40	7
TR53|c0_g1_i1	6	6
TR54|c0_g1_i1	37	45
TR54|c0_g2_i1	1	1
TR55|c0_g1_i1	28	101
TR56|c0_g1_i1	2	7
TR57|c0_g1_i1	15	12
TR57|c0_g2_i1	23	8
TR58|c0_g1_i1	0	2
TR59|c0_g1_i1	8	32
TR59|c0_g2_i1	4	2
TR60|c0_g1_i1	39	70
TR61|c0_g1_i1	0	2
TR61|c0_g2_i1	17	21
TR62|c0_g1_i1	10	15
TR63|c0_g1_i1	16	7
TR64|c0_g1_i1	11	14
TR65|c0_g1_i1	4	5
TR66|c0_g1_i1	8	20
TR66|c0_g2_i1	11	16
TR67|c0_g1_i1	1	9
TR67|c0_g2_i1	1	0
TR68|c0_g1_i1	4	10
TR69|c0_g1_i1	0	16
TR69|c0_g2_i1	9	0
TR70|c0_g1_i1	3	2
TR71|c0_g1_i1	2	6
TR72|c0_g1_i1	8	25
TR73|c0_g1_i1	12	42
TR74|c0_g1_i1	3	22
TR74|c0_g2_i1	2	5
TR75|c0_g1_i1	0	4
TR75|c0_g2_i1	3	0
TR76|c0_g1_i1	24	19
TR77|c0_g1_i1	3	7
TR77|c0_g2_i1	0	2
TR78|c0_g1_i1	3	16
TR79|c0_g1_i1	11	19
TR80|c0_g1_i1	2	6
TR81|c0_g1_i1	28	21
TR82|c0_g1_i1	2	11
TR83|c0_g1_i1	0	16
TR83|c0_g2_i1	5	17
TR84|c0_g1_i1	15	20
TR85|c0_g1_i1	0	5
TR85|c0_g2_i1	27	15
TR86|c0_g1_i1	16	0
TR87|c0_g1_i1	2	12
TR88|c0_g1_i1	0	4
TR88|c0_g2_i1	11	0
TR89|c0_g1_i1	32	29
TR90|c0_g1_i1	7	14
TR91|c0_g1_i1	37	30
TR92|c0_g1_i1	43	67
TR93|c0_g1_i1	150	433
TR94|c0_g1_i1	0	5
TR95|c0_g1_i1	3	0
TR95|c0_g2_i1	3	9
TR96|c0_g1_i1	5	13
TR97|c0_g1_i1	3	2
TR98|c0_g1_i1	39	52
TR99|c0_g1_i1	6	15
TR99|c0_g2_i1	0	24
TR100|c0_g1_i1	24	5
TR101|c0_g1_i1	4	10
TR102|c0_g1_i1	0	0
TR102|c0_g2_i1	3	6
TR103|c0_g1_i1	1	11
TR104|c0_g1_i1	129	178
TR105|c0_g1_i1	19	41
TR105|c0_g2_i1	0	10
TR106|c0_g1_i1	37	21
TR107|c0_g1_i1	0	0
TR107|c0_g2_i1	2	9
TR108|c0_g1_i1	0	0
TR108|c0_g2_i1	6	6
TR109|c0_g1_i1	3	4
TR110|c0_g1_i1	5	17
TR111|c0_g1_i1	3	33
TR111|c0_g1_i2	2	2
TR112|c0_g1_i1	103	340
TR113|c0_g1_i1	4	0
TR113|c0_g2_i1	4	9
TR114|c0_g1_i1	3	11
TR114|c0_g2_i1	0	7
TR115|c0_g1_i1	2	38
TR116|c0_g1_i1	6	22
TR117|c0_g1_i1	7	16
