Feature_ID	Male_106 - Total gene reads	Male_108 - Total gene reads
TR1|c0_g1_i1	6	4
TR1|c0_g2_i1	5	3
TR2|c0_g1_i1	20	15
TR3|c0_g1_i1	4	7
TR4|c0_g1_i1	10	8
TR5|c0_g1_i1	7	1
TR6|c0_g1_i1	13	11
TR7|c0_g1_i1	20	11
TR8|c0_g1_i1	48	7
TR9|c0_g1_i1	15	10
TR10|c0_g1_i1	4	7
TR10|c0_g2_i1	23	8
TR10|c0_g3_i1	0	0
TR10|c1_g1_i1	10	6
TR11|c0_g1_i1	6	5
TR12|c0_g1_i1	22	62
TR13|c0_g1_i1	0	3
TR13|c0_g2_i1	4	0
TR14|c0_g1_i1	4	2
TR15|c0_g1_i1	0	0
TR15|c0_g2_i1	7	8
TR16|c0_g1_i1	161	183
TR17|c0_g1_i1	40	22
TR18|c0_g1_i1	7	8
TR18|c0_g2_i1	4	5
TR19|c0_g1_i1	1	0
TR19|c0_g2_i1	19	9
TR20|c0_g1_i1	5	1
TR20|c0_g2_i1	0	0
TR21|c0_g1_i1	5	2
TR22|c0_g1_i1	7	2
TR23|c0_g1_i1	0	3
TR23|c0_g1_i2	8	20
TR24|c0_g1_i1	4	6
TR25|c0_g1_i1	26	17
TR26|c0_g1_i1	24	12
TR27|c0_g1_i1	13	6
TR27|c0_g2_i1	1	0
TR28|c0_g1_i1	12	13
TR29|c0_g1_i1	5	4
TR29|c0_g2_i1	6	2
TR30|c0_g1_i1	11	6
TR31|c0_g1_i1	9	17
TR31|c0_g2_i1	0	3
TR32|c0_g1_i1	47	52
TR32|c0_g2_i1	5	15
TR33|c0_g1_i1	11	39
TR34|c0_g1_i1	0	8
TR34|c0_g2_i1	5	3
TR35|c0_g1_i1	9	16
TR36|c0_g1_i1	9	8
TR37|c0_g1_i1	65	63
TR38|c0_g1_i1	0	9
TR38|c0_g2_i1	2	0
TR39|c0_g1_i1	8	20
TR39|c0_g2_i1	0	0
TR40|c0_g1_i1	0	0
TR40|c0_g2_i1	17	3
TR41|c0_g1_i1	78	62
TR42|c0_g1_i1	7	1
TR42|c0_g2_i1	6	1
TR43|c0_g1_i1	16	20
TR44|c0_g1_i1	12	8
TR45|c0_g1_i1	0	2
TR45|c1_g1_i1	5	7
TR46|c0_g1_i1	186	228
TR47|c0_g1_i1	0	0
TR47|c0_g2_i1	0	0
TR47|c0_g2_i2	17	0
TR48|c0_g1_i1	14	5
TR49|c0_g1_i1	18	13
TR50|c0_g1_i1	5	11
TR51|c0_g1_i1	64	32
TR52|c0_g1_i1	30	21
TR52|c0_g2_i1	7	10
TR53|c0_g1_i1	6	10
TR54|c0_g1_i1	45	98
TR54|c0_g2_i1	1	9
TR55|c0_g1_i1	101	179
TR56|c0_g1_i1	7	28
TR57|c0_g1_i1	12	3
TR57|c0_g2_i1	8	3
TR58|c0_g1_i1	2	7
TR59|c0_g1_i1	32	8
TR59|c0_g2_i1	2	2
TR60|c0_g1_i1	70	68
TR61|c0_g1_i1	2	5
TR61|c0_g2_i1	21	36
TR62|c0_g1_i1	15	14
TR63|c0_g1_i1	7	3
TR64|c0_g1_i1	14	6
TR65|c0_g1_i1	5	30
TR66|c0_g1_i1	20	22
TR66|c0_g2_i1	16	20
TR67|c0_g1_i1	9	4
TR67|c0_g2_i1	0	7
TR68|c0_g1_i1	10	10
TR69|c0_g1_i1	16	12
TR69|c0_g2_i1	0	4
TR70|c0_g1_i1	2	5
TR71|c0_g1_i1	6	7
TR72|c0_g1_i1	25	39
TR73|c0_g1_i1	42	6
TR74|c0_g1_i1	22	0
TR74|c0_g2_i1	5	22
TR75|c0_g1_i1	4	9
TR75|c0_g2_i1	0	0
TR76|c0_g1_i1	19	21
TR77|c0_g1_i1	7	11
TR77|c0_g2_i1	2	0
TR78|c0_g1_i1	16	34
TR79|c0_g1_i1	19	31
TR80|c0_g1_i1	6	0
TR81|c0_g1_i1	21	19
TR82|c0_g1_i1	11	5
TR83|c0_g1_i1	16	5
TR83|c0_g2_i1	17	6
TR84|c0_g1_i1	20	22
TR85|c0_g1_i1	5	4
TR85|c0_g2_i1	15	29
TR86|c0_g1_i1	0	8
TR87|c0_g1_i1	12	10
TR88|c0_g1_i1	4	0
TR88|c0_g2_i1	0	0
TR89|c0_g1_i1	29	23
TR90|c0_g1_i1	14	25
TR91|c0_g1_i1	30	10
TR92|c0_g1_i1	67	56
TR93|c0_g1_i1	433	318
TR94|c0_g1_i1	5	4
TR95|c0_g1_i1	0	4
TR95|c0_g2_i1	9	5
TR96|c0_g1_i1	13	7
TR97|c0_g1_i1	2	20
TR98|c0_g1_i1	52	43
TR99|c0_g1_i1	15	42
TR99|c0_g2_i1	24	0
TR100|c0_g1_i1	5	21
TR101|c0_g1_i1	10	8
TR102|c0_g1_i1	0	3
TR102|c0_g2_i1	6	0
TR103|c0_g1_i1	11	9
TR104|c0_g1_i1	178	71
TR105|c0_g1_i1	41	7
TR105|c0_g2_i1	10	5
TR106|c0_g1_i1	21	20
TR107|c0_g1_i1	0	0
TR107|c0_g2_i1	9	15
TR108|c0_g1_i1	0	0
TR108|c0_g2_i1	6	2
TR109|c0_g1_i1	4	7
TR110|c0_g1_i1	17	22
TR111|c0_g1_i1	33	34
TR111|c0_g1_i2	2	1
TR112|c0_g1_i1	340	291
TR113|c0_g1_i1	0	2
TR113|c0_g2_i1	9	2
TR114|c0_g1_i1	11	14
TR114|c0_g2_i1	7	9
TR115|c0_g1_i1	38	6
TR116|c0_g1_i1	22	14
TR117|c0_g1_i1	16	4
TR117|c0_g2_i1	0	0
TR118|c0_g1_i1	0	5
TR118|c0_g2_i1	8	10
TR119|c0_g1_i1	13	9
TR120|c0_g1_i1	14	12
TR121|c0_g1_i1	164	191
TR121|c0_g2_i1	44	46
TR122|c0_g1_i1	4	0
TR122|c0_g2_i1	2	0
TR123|c0_g1_i1	10	9
TR124|c0_g1_i1	12	9
TR125|c0_g1_i1	4	18
TR126|c0_g1_i1	12	16
TR127|c0_g1_i1	23	2
TR128|c0_g1_i1	8	13
TR129|c0_g1_i1	8919	7718
TR130|c0_g1_i1	8	9
TR131|c0_g1_i1	7	16
TR132|c0_g1_i1	11	8
TR133|c0_g1_i1	10	13
TR134|c0_g1_i1	38	46
TR134|c0_g2_i1	0	6
TR135|c0_g1_i1	31	3
TR136|c0_g1_i1	13	18
TR137|c0_g1_i1	19	20
TR138|c0_g1_i1	0	6
TR138|c0_g2_i1	5	0
TR139|c0_g1_i1	15	5
TR140|c0_g1_i1	24	11
